,Team Name,PPDA,AVG Rush,AVG Pass,INT,SACKS,TDSR,FDSR,W%
0,Arizona Cardinals,1.937,4.4,7.2,10.0,30.0,0.569,0.52,0.176
1,Atlanta Falcons,1.476,4.6,7.1,16.0,57.0,0.601,0.406,0.471
2,Baltimore Ravens,1.857,4.2,7.0,11.0,30.0,0.622,0.439,0.471
3,Buffalo Bills,1.881,5.1,6.2,13.0,36.0,0.586,0.474,0.706
4,Carolina Panthers,1.802,4.4,7.2,15.0,30.0,0.529,0.364,0.471
5,Chicago Bears,1.405,5.0,7.6,23.0,35.0,0.592,0.522,0.647
6,Cincinnati Bengals,1.548,5.2,7.8,13.0,35.0,0.566,0.333,0.353
7,Cleveland Browns,1.421,4.2,6.6,11.0,53.0,0.637,0.611,0.294
8,Dallas Cowboys,2.095,4.7,8.1,6.0,35.0,0.527,0.381,0.438
9,Denver Broncos,1.492,3.9,6.1,10.0,68.0,0.662,0.481,0.824
10,Detroit Lions,1.556,4.4,7.3,13.0,49.0,0.631,0.344,0.529
11,Green Bay Packers,1.524,4.2,6.4,7.0,36.0,0.606,0.444,0.562
12,Houston Texans,1.151,4.0,6.5,19.0,47.0,0.638,0.524,0.706
13,Indianapolis Colts,1.794,3.9,7.1,14.0,39.0,0.575,0.464,0.471
14,Jacksonville Jaguars,1.198,3.9,6.2,22.0,32.0,0.596,0.645,0.765
15,Kansas City Chiefs,1.516,4.0,6.8,10.0,35.0,0.564,0.739,0.353
16,Las Vegas Raiders,1.937,3.9,7.0,8.0,37.0,0.537,0.381,0.176
17,Los Angeles Chargers,1.651,4.3,6.6,19.0,45.0,0.648,0.48,0.647
18,Los Angeles Rams,1.087,4.3,6.8,16.0,47.0,0.637,0.452,0.706
19,Miami Dolphins,1.595,4.8,7.6,9.0,39.0,0.601,0.286,0.412
20,Minnesota Vikings,1.579,4.0,6.8,8.0,49.0,0.655,0.333,0.529
21,New England Patriots,1.063,4.2,6.7,10.0,35.0,0.615,0.667,0.824
22,New Orleans Saints,1.524,4.0,6.8,10.0,45.0,0.657,0.471,0.353
23,New York Giants,1.929,5.3,7.1,9.0,39.0,0.608,0.273,0.235
24,New York Jets,1.944,4.4,7.5,0.0,26.0,0.627,0.273,0.176
25,Philadelphia Eagles,1.802,4.3,6.4,12.0,42.0,0.595,0.621,0.647
26,Pittsburgh Steelers,1.317,4.3,7.2,15.0,48.0,0.585,0.263,0.588
27,San Francisco 49Ers,1.246,4.3,7.0,6.0,20.0,0.599,0.455,0.706
28,Seattle Seahawks,1.095,3.7,6.0,18.0,47.0,0.679,0.489,0.824
29,Tampa Bay Buccaneers,1.46,4.2,7.6,13.0,37.0,0.605,0.533,0.471
30,Tennessee Titans,1.929,4.3,8.2,6.0,42.0,0.603,0.25,0.176
31,Washington Commanders,1.69,4.8,8.1,8.0,42.0,0.587,0.375,0.294
