,Team Name,PPD,AVG Pass,AVG Rush,TURN,SACKS,TDCR,FDCR,FDP,FDR,W%
0,Arizona Cardinals,2.317,5.0,4.3,-0.016,19.667,0.415,0.429,216.0,91.0,0.176
1,Atlanta Falcons,1.873,5.2,4.5,0.04,8.667,0.333,0.5,185.0,113.0,0.471
2,Baltimore Ravens,2.103,5.6,5.2,-0.024,15.0,0.409,0.6,141.0,146.0,0.471
3,Buffalo Bills,2.23,5.8,5.0,0.008,13.333,0.448,0.594,196.0,146.0,0.706
4,Carolina Panthers,2.016,4.8,4.3,-0.016,11.667,0.361,0.675,170.0,109.0,0.471
5,Chicago Bears,2.452,5.5,4.9,0.175,8.0,0.427,0.517,190.0,142.0,0.647
6,Cincinnati Bengals,2.706,5.2,4.2,-0.032,12.0,0.434,0.7,213.0,102.0,0.353
7,Cleveland Browns,1.683,4.2,3.9,-0.056,17.0,0.336,0.414,134.0,100.0,0.294
8,Dallas Cowboys,2.69,5.7,4.6,-0.071,10.333,0.411,0.629,229.0,120.0,0.438
9,Denver Broncos,2.167,5.2,4.4,-0.024,7.667,0.412,0.5,196.0,111.0,0.824
10,Detroit Lions,2.643,5.8,4.6,0.032,13.0,0.388,0.581,224.0,105.0,0.529
11,Green Bay Packers,2.111,5.4,4.1,0.008,9.667,0.488,0.56,180.0,124.0,0.562
12,Houston Texans,2.754,4.9,3.9,0.135,10.333,0.372,0.579,184.0,99.0,0.706
13,Indianapolis Colts,2.254,5.6,4.5,-0.016,9.667,0.426,0.667,199.0,122.0,0.471
14,Jacksonville Jaguars,2.548,5.1,4.0,0.103,13.667,0.392,0.586,196.0,124.0,0.765
15,Kansas City Chiefs,2.063,5.0,4.2,-0.008,15.667,0.374,0.75,189.0,122.0,0.353
16,Las Vegas Raiders,1.635,4.3,3.6,-0.056,21.333,0.338,0.406,161.0,67.0,0.176
17,Los Angeles Chargers,2.349,5.0,4.4,0.016,20.0,0.458,0.571,185.0,117.0,0.647
18,Los Angeles Rams,3.19,6.0,4.6,0.079,7.667,0.396,0.667,236.0,126.0,0.706
19,Miami Dolphins,1.976,5.2,4.7,-0.032,12.667,0.349,0.478,174.0,104.0,0.412
20,Minnesota Vikings,1.897,4.7,4.5,-0.071,20.0,0.318,0.625,157.0,102.0,0.529
21,New England Patriots,2.643,6.0,4.4,0.024,16.0,0.429,0.72,206.0,128.0,0.824
22,New Orleans Saints,1.937,4.8,3.7,-0.032,16.333,0.395,0.412,183.0,101.0,0.353
23,New York Giants,1.825,5.1,4.3,-0.016,16.0,0.402,0.462,160.0,141.0,0.235
24,New York Jets,1.722,4.3,4.6,-0.151,20.0,0.349,0.439,136.0,115.0,0.176
25,Philadelphia Eagles,2.087,5.1,4.2,0.048,11.667,0.371,0.524,166.0,114.0,0.647
26,Pittsburgh Steelers,2.254,5.1,4.3,0.095,10.333,0.4,0.522,160.0,109.0,0.588
27,San Francisco 49Ers,2.675,5.3,3.8,-0.048,9.0,0.498,0.591,237.0,119.0,0.706
28,Seattle Seahawks,2.754,5.6,4.1,-0.024,9.0,0.398,0.583,179.0,125.0,0.824
29,Tampa Bay Buccaneers,2.317,4.9,4.1,0.056,12.667,0.412,0.448,174.0,115.0,0.471
30,Tennessee Titans,1.746,4.2,4.2,-0.048,18.667,0.319,0.457,156.0,85.0,0.176
31,Washington Commanders,1.714,5.3,4.7,-0.103,12.333,0.376,0.615,159.0,123.0,0.294
